Base Name,Dual,2D,Latitude, Longitude,Airport,Hot Loading,Single,Geographic Area,Parking Total,Pit Total,VLATs,LATs,2S,Fuel and Load
Airtanker Bases,160,160,"Abilene Regional Airport–Elevation: 1,791’",ABILENE–ABI,YES,85,Base Location on Field: NE Quadrant,,2,NO,,160,,
ALAMOGORDO–ALM,74,120,Airport: 32 50.27N/105 59.77,"White Sands Regional Airport–Elevation: 4,200’",YES,54,SOUTHWEST,8,3,NO,YES,94,NO,
ALBUQUERQUE–ABQ,210,360,Airport:  35 02.87N/106 36.45W,"Albuquerque International Sunport Airport–Elevation: 5,355’",YES,100,SOUTHWEST,,2,NO,YES,155,,
BAKERSFIELD–BFL,,,Airport: 35 25.705N/119 02.695 W,Meadows Field Airport–Elevation: 509’,,,SOUTHERN CALIFORNIA,,,YES,YES,,,
BATTLE MOUNTAIN–BAM,104,,Airport: 40 35.94N/116 52.46W,"Battle Mountain Airport–Elevation: 4,532’",YES,30,GREAT BASIN,6,2,NO,YES,65,NO,
BEMIDJI–BJI,200,,Airport: 47 30.17N/94 55.70W,"Bemidji Regional Airport–Elevation: 1,390’",YES,75,EASTERN,3,2,NO,YES,,NO,
BILLINGS–BIL,170,285,Airport: 45 48.38N/108 31.35W,"Billings Logan International Airport–Elevation: 3,652’",YES,130,NORTHERN ROCKIES,6,2,NO,YES,175,YES,
BISHOP–BIH,110,200,Airport:  37 22.53N/118 22.48W,"Eastern Sierra Regional Airport–Elevation: 4,124’",YES,70,SOUTHERN CALIFORNIA,6,1,NO,YES,,NO,
BOISE–BOI,210,446,Airport:  43 33.93N/116 12.87W,"Boise Air Terminal/Gowen Field–Elevation: 2,871’",YES,100,GREAT BASIN,,3,NO,YES,175,,
BROWN FIELD–SDM,110,,Airport: 32 34.33 N/116 58.82 W,Brown Field Municipal Airport–Elevation: 526’,YES,80,SOUTHERN CALIFORNIA,8,2,NO,YES,,NO,
CASPER–CPR,170,,Airport: 42 54.12N/106 24.60W,"Casper/Natrona County Int’l Airport–Elevation: 5,350’",,130,ROCKEY MOUNTAIN,2,,,YES,,NO,
CASTLE–MER,200,415,Airport: 37 22.49N/120 34.05W,Castle Airport–Elevation:,,155,SOUTHERN CALIFORNIA,6,,,YES,,NO,
CEDAR CITY–CDC,100,150,Airport: 37 42.47N/113 05.35W,"Cedar City Regional Airport–Elevation: 5,622’",YES,75,GREAT BASIN,,3,NO,YES,,,
CHANNEL ISLANDS RELOAD–NTD,300,,Airport: 34 07.82N/119 06.54W,Point Mugu Naval Station–Elevation 13’,,150,SOUTHERN CALIFORNIA,,,,,175,,
CHATTANOOGA–CHA,164,265,Airport: 35 02.22N/85 12.30W,"Chattanooga Metropolitan Airport, Lovell Field–Elevation: 683’",NO,120,SOUTHERN,4,2,NO,YES,,YES,
CHESTER–O05,,,Airport: 40 17.32N/121 14.65W,"Rogers Field Airport–Elevation: 4,528’",YES,,NORTHERN CALIFORNIA,10,3,NO,YES,,NO,
CHICO–CIC,100,170,Airport: 39 48.13N/121 51.52W,Chico Municipal Airport–Elevation: 240’,YES,63,NORTHERN CALIFORNIA,,3,NO,YES,,,
COEUR d’ ALENE–COE,95,165,Airport: 47 46.55N/116 48.52W,"Pappy Boyington Field–Elevation: 2,320’",YES,57,NORTHERN ROCKIES,5,2,NO,YES,,NO,
COLORADO SPRINGS–COS,250K,,Airport: 38 48.80N/104 42.70W,"Colorado Springs Municipal Airport–Elevation: 6,187’",NO,,ROCKY MOUNTAIN,,2,YES,YES,,YES,
