Base Name,Base Code,Airport Name,Elevation,Latitude,Longitude,Region,RWL: Single,RWL: Dual,RWL: 2S,RWL: 2D,VLATs,Pit Total,Hot Loading,LATs,Parking Total,Fuel and Load,MAFFS,Load Simultaneously,Hot Refueling,SEATs,Offload Capacity,Retardant Type
ABILENE,ABI,Abilene Regional Airport,1791,32 41.13N,99 68.19W,SOUTHERN,85,160,160,160,NO,2,YES,YES,6,NO,NO,2,NO,YES,5000,LC 95A 
ALAMOGORDO,ALM,White Sands Regional Airport,4200,32 50.27N,105 59.77,SOUTHWEST,54,74,94,120,NO,3,YES,YES,8,NO,NO,1,NO,YES,3000,MVP FX
ALBUQUERQUE,ABQ,Albuquerque International Sunport Airport,5355,35 02.87N,106 36.45W,SOUTHWEST,100,210,155,360,NO,2,YES,YES,6,NO,R/H/F,1,NO,YES,4000,MVP FX
BAKERSFIELD,BFL,Meadows Field Airport,509,35 25.705N,119 02.695 W,SOUTHERN CALIFORNIA,0,0,0,0,YES,0,NO,YES,0,NO,NO,0,NO,NO,0,NONE
BATTLE MOUNTAIN,BAM,Battle Mountain Airport,4532,40 35.94N,116 52.46W,GREAT BASIN,30,104,170,0,NO,2,YES,YES,6,NO,R,1,NO,YES,5000,LC 95A
BEMIDJI,BJI,Bemidji Regional Airport,1390,47 30.17N,94 55.70W,EASTERN,75,200,0,0,NO,2,YES,YES,3,NO,NO,1,NO,YES,0,LC 95A
BILLINGS,BIL,Billings Logan International Airport,3652,45 48.38N,108 31.35W,NORTHERN ROCKIES,130,170,175,285,NO,2,YES,YES,6,YES,R,2,NO,YES,5000,LC 95A
BISHOP,BIH,Eastern Sierra Regional Airport,4124,37 22.53N,118 22.48W,SOUTHERN CALIFORNIA,70,110,0,200,NO,1,YES,YES,6,NO,NO,1,NO,YES,0,MVP FX
BOISE,BOI,Boise Air Terminal/Gowen Field,2871,43 33.93N,116 12.87W,GREAT BASIN,100,210,175,446,NO,3,YES,YES,5,NO,R/H/F,1,NO,YES,3000,LC 95A
BROWN FIELD,SDM,Brown Field Municipal Airport,526,32 34.33 N,116 58.82 W,SOUTHERN CALIFORNIA,80,110,0,0,NO,2,YES,YES,8,NO,NO,2,NO,YES,0,MVP FX
CASPER,CPR,Casper/Natrona County Int’l Airport,5350,42 54.12N,106 24.60W,ROCKY MOUNTAIN,130,170,0,270,YES,1,YES,YES,2,NO,YES,1,NO,YES,0,LC 95A
