latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
40.874297,-75.32868,015,031,5664,7242,2023-10-10,1545,L8,M,D
40.874566,-75.329038,015,031,5663,7241,2023-10-10,1545,L8,H,D
40.874567,-75.328682,015,031,5664,7241,2023-10-10,1545,L8,H,D
40.956551,-75.458489,015,031,5301,6936,2023-10-10,1545,L8,H,D
41.083668,-76.799409,015,031,1549,6417,2023-10-10,1545,L8,H,D
41.083673,-76.799052,015,031,1550,6417,2023-10-10,1545,L8,H,D
41.137734,-75.554117,015,031,5037,6264,2023-10-10,1545,L8,H,D
41.138005,-75.554119,015,031,5037,6263,2023-10-10,1545,L8,H,D
41.139755,-76.824176,015,031,1484,6208,2023-10-10,1545,L8,H,D
41.13976,-76.823819,015,031,1485,6208,2023-10-10,1545,L8,H,D
41.140025,-76.824183,015,031,1484,6207,2023-10-10,1545,L8,H,D
41.357255,-75.6876,015,031,4670,5449,2023-10-10,1545,L8,H,D
41.391291,-75.986511,015,031,3838,5315,2023-10-10,1545,L8,M,D
41.435577,-75.598655,015,031,4920,5161,2023-10-10,1545,L8,H,D
37.916337,-76.472764,015,033,5022,7642,2023-10-10,1546,L8,H,D
38.018325,-76.531534,015,033,4856,7262,2023-10-10,1546,L8,L,D
38.094939,-77.289837,015,033,2644,6933,2023-10-10,1546,L8,H,D
38.161463,-76.391734,015,033,5273,6739,2023-10-10,1546,L8,L,D
38.161467,-76.391392,015,033,5274,6739,2023-10-10,1546,L8,H,D
38.179253,-77.662669,015,033,1563,6592,2023-10-10,1546,L8,H,D
38.179524,-77.662678,015,033,1563,6591,2023-10-10,1546,L8,H,D
38.179794,-77.662688,015,033,1563,6590,2023-10-10,1546,L8,L,D
38.222893,-77.020044,015,033,3443,6478,2023-10-10,1546,L8,L,D
38.272976,-77.309136,015,033,2604,6273,2023-10-10,1546,L8,L,D
38.310413,-75.99483,015,033,6438,6203,2023-10-10,1546,L8,H,D
38.310416,-75.994487,015,033,6439,6203,2023-10-10,1546,L8,H,D
38.310683,-75.994834,015,033,6438,6202,2023-10-10,1546,L8,L,D
38.310686,-75.994491,015,033,6439,6202,2023-10-10,1546,L8,L,D
38.39211,-77.535142,015,033,1957,5815,2023-10-10,1546,L8,H,D
38.39238,-77.535151,015,033,1957,5814,2023-10-10,1546,L8,M,D
38.439182,-77.872896,015,033,979,5612,2023-10-10,1546,L8,L,D
38.439452,-77.872907,015,033,979,5611,2023-10-10,1546,L8,H,D
38.480679,-76.703944,015,033,4383,5543,2023-10-10,1546,L8,L,D
38.4847,-77.933849,015,033,807,5438,2023-10-10,1546,L8,L,D
38.484709,-77.933506,015,033,808,5438,2023-10-10,1546,L8,L,D
38.48497,-77.93386,015,033,807,5437,2023-10-10,1546,L8,H,D
38.484979,-77.933517,015,033,808,5437,2023-10-10,1546,L8,H,D
38.484987,-77.933173,015,033,809,5437,2023-10-10,1546,L8,H,D
38.48524,-77.933871,015,033,807,5436,2023-10-10,1546,L8,L,D
38.485258,-77.933184,015,033,809,5436,2023-10-10,1546,L8,H,D
