flight_id,source,destination,takeoff,landing
TNKR910-1580925164-adhoc-0,SBD,,2020-02-05T17:52:44Z,2020-02-05T17:52:44Z

N612AX-1582383541-adhoc-0,,ABQ,2020-02-22T14:59:38Z,2020-02-22T18:22:16Z

TNKR910-1583863060-adhoc-0,ABQ,ABQ,2020-03-10T17:57:40Z,2020-03-10T18:26:16Z

TNKR910-1586268158-adhoc-0,ABQ,FHU,2020-04-07T14:02:38Z,2020-04-07T15:04:06Z

TNKR910-1587504101-adhoc-0,FHU,FHU,2020-04-21T21:21:41Z,2020-04-22T00:39:13Z

TNKR910-1587490631-adhoc-0,FHU,FHU,2020-04-21T17:37:11Z,2020-04-21T20:31:50Z

TNKR910-1587424908-adhoc-0,FHU,FHU,2020-04-20T23:21:48Z,2020-04-21T02:27:00Z

TNKR910-1587409446-adhoc-0,FHU,FHU,2020-04-20T19:04:06Z,2020-04-20T22:07:31Z

TNKR910-1588003358-adhoc-0,ROW,,2020-04-27T16:02:38Z,2020-04-27T16:02:38Z

TNKR910-1587828279-adhoc-0,,ROW,2020-04-25T15:24:39Z,2020-04-25T17:11:15Z

TNKR910-1587766713-adhoc-0,ROW,ROW,2020-04-24T22:18:33Z,2020-04-25T00:02:25Z

TNKR910-1587755589-adhoc-0,ROW,ROW,2020-04-24T19:13:09Z,2020-04-24T20:53:56Z

TNKR910-1587747125-adhoc-0,ROW,ROW,2020-04-24T16:52:05Z,2020-04-24T18:31:11Z

TNKR910-1587738699-adhoc-0,ROW,ROW,2020-04-24T14:31:39Z,2020-04-24T16:10:28Z

TNKR910-1587679801-adhoc-0,ROW,ROW,2020-04-23T22:10:01Z,2020-04-23T23:51:30Z

TNKR910-1587671854-adhoc-0,ROW,ROW,2020-04-23T19:57:34Z,2020-04-23T21:33:28Z

TNKR910-1587663773-adhoc-0,ROW,ROW,2020-04-23T17:42:53Z,2020-04-23T19:18:42Z

N612AX-1587655433-adhoc-0,ROW,ROW,2020-04-23T15:23:53Z,2020-04-23T17:01:52Z

TNKR910-1587598102-adhoc-0,ROW,ROW,2020-04-22T23:28:22Z,2020-04-23T01:03:38Z

N612AX-1587587305-adhoc-0,ROW,ROW,2020-04-22T20:28:25Z,2020-04-22T22:32:08Z

TNKR910-1587574939-adhoc-0,FHU,ROW,2020-04-22T17:02:19Z,2020-04-22T19:35:57Z

TNKR910-1589314374-adhoc-0,AZA,AZA,2020-05-12T20:12:54Z,2020-05-12T22:00:46Z

TNKR910-1589304704-adhoc-0,FHU,AZA,2020-05-12T17:31:44Z,2020-05-12T19:35:44Z

TNKR910-1589244600-adhoc-0,AZA,FHU,2020-05-12T00:50:00Z,2020-05-12T02:49:46Z

TNKR910-1589236958-adhoc-0,AZA,AZA,2020-05-11T22:42:38Z,2020-05-12T00:21:06Z

TNKR910-1589227718-adhoc-0,FHU,AZA,2020-05-11T20:08:38Z,2020-05-11T22:10:00Z

TNKR910-1588971626-adhoc-0,FHU,FHU,2020-05-08T21:00:26Z,2020-05-08T22:18:26Z

TNKR910-1589850704-adhoc-0,FHU,FHU,2020-05-19T01:11:44Z,2020-05-19T02:35:45Z

TNKR910-1589826796-adhoc-0,FHU,FHU,2020-05-18T18:33:16Z,2020-05-18T19:51:53Z

TNKR910-1589330486-adhoc-0,AZA,FHU,2020-05-13T00:41:26Z,2020-05-13T01:10:01Z

TNKR910-1590262769-adhoc-0,FHU,FHU,2020-05-23T19:39:29Z,2020-05-23T20:45:40Z

TNKR910-1591140388-adhoc-0,AZA,AZA,2020-06-02T23:26:28Z,2020-06-02T23:52:59Z

TNKR910-1591135725-adhoc-0,FHU,AZA,2020-06-02T22:08:45Z,2020-06-02T22:52:36Z

TNKR910-1591063627-adhoc-0,FHU,FHU,2020-06-02T02:07:07Z,2020-06-02T03:05:57Z

TNKR910-1591057775-adhoc-0,FHU,FHU,2020-06-02T00:29:35Z,2020-06-02T01:26:03Z

N612AX-1591052378-adhoc-0,FHU,FHU,2020-06-01T22:59:38Z,2020-06-01T23:49:48Z

TNKR910-1590884246-adhoc-0,FHU,FHU,2020-05-31T00:17:26Z,2020-05-31T01:54:45Z

TNKR910-1590879265-adhoc-0,AZA,FHU,2020-05-30T22:54:25Z,2020-05-30T23:21:03Z

TNKR910-1590873964-adhoc-0,FHU,AZA,2020-05-30T21:26:04Z,2020-05-30T22:15:45Z

TNKR910-1590800032-adhoc-0,,FHU,2020-05-30T00:53:52Z,2020-05-30T01:35:47Z

TNKR910-1591735370-adhoc-0,AZA,AZA,2020-06-09T20:42:50Z,2020-06-09T22:20:36Z

TNKR910-1591726909-adhoc-0,,AZA,2020-06-09T18:21:49Z,2020-06-09T20:10:56Z

TNKR910-1591661231-adhoc-0,FHU,FHU,2020-06-09T00:07:11Z,2020-06-09T02:12:48Z

TNKR910-1591654705-adhoc-0,FHU,FHU,2020-06-08T22:18:25Z,2020-06-08T23:14:30Z

TNKR910-1591646955-adhoc-0,FHU,FHU,2020-06-08T20:09:15Z,2020-06-08T21:31:48Z

TNKR910-1591491317-adhoc-0,FHU,FHU,2020-06-07T00:55:17Z,2020-06-07T01:37:24Z

N612AX-1591485574-adhoc-0,FHU,FHU,2020-06-06T23:19:34Z,2020-06-07T00:09:29Z

TNKR910-1591479941-adhoc-0,FHU,FHU,2020-06-06T21:45:41Z,2020-06-06T22:40:52Z

TNKR910-1591222638-adhoc-0,FHU,FHU,2020-06-03T22:17:18Z,2020-06-03T22:41:12Z

TNKR910-1591150036-adhoc-0,AZA,FHU,2020-06-03T02:07:16Z,2020-06-03T02:53:49Z

TNKR910-1591146924-adhoc-0,AZA,AZA,2020-06-03T01:15:24Z,2020-06-03T01:39:22Z

TNKR910-1591143545-adhoc-0,AZA,AZA,2020-06-03T00:19:05Z,2020-06-03T00:49:44Z

N612AX-1592351430-adhoc-0,FHU,FHU,2020-06-16T23:50:30Z,2020-06-17T00:55:12Z

TNKR910-1592342268-adhoc-0,FHU,FHU,2020-06-16T21:17:48Z,2020-06-16T22:01:23Z

TNKR910-1592334502-adhoc-0,FHU,FHU,2020-06-16T19:08:22Z,2020-06-16T20:03:25Z

TNKR910-1592268035-adhoc-0,,FHU,2020-06-16T00:40:35Z,2020-06-16T02:24:24Z

TNKR910-1592260557-adhoc-0,,ABQ,2020-06-15T22:35:57Z,2020-06-15T23:51:46Z

TNKR910-1592251814-adhoc-0,AZA,ABQ,2020-06-15T20:10:14Z,2020-06-15T21:41:49Z

TNKR910-1592241894-adhoc-0,FHU,AZA,2020-06-15T17:24:54Z,2020-06-15T19:21:50Z

TNKR910-1592098489-adhoc-0,FHU,FHU,2020-06-14T01:34:49Z,2020-06-14T02:33:12Z

TNKR910-1592092661-adhoc-0,FHU,FHU,2020-06-13T23:57:41Z,2020-06-14T00:56:25Z

TNKR910-1592080900-adhoc-0,AZA,FHU,2020-06-13T20:41:40Z,2020-06-13T21:09:41Z

TNKR910-1592070204-adhoc-0,,AZA,2020-06-13T17:43:24Z,2020-06-13T20:05:57Z

TNKR910-1592007228-adhoc-0,FHU,FHU,2020-06-13T00:13:48Z,2020-06-13T00:55:07Z

TNKR910-1592002721-adhoc-0,,FHU,2020-06-12T22:58:41Z,2020-06-12T23:32:59Z

TNKR910-1591998042-adhoc-0,AZA,FHU,2020-06-12T21:40:42Z,2020-06-12T22:19:21Z

TNKR910-1591990597-adhoc-0,AZA,AZA,2020-06-12T19:36:37Z,2020-06-12T21:05:36Z

TNKR910-1591982043-adhoc-0,FHU,AZA,2020-06-12T17:14:03Z,2020-06-12T19:00:27Z

TNKR910-1591926042-adhoc-0,FHU,FHU,2020-06-12T01:40:42Z,2020-06-12T02:24:12Z

N612AX-1591909726-adhoc-0,FHU,FHU,2020-06-11T21:08:46Z,2020-06-11T21:50:08Z

TNKR910-1591903691-adhoc-0,,FHU,2020-06-11T19:28:11Z,2020-06-11T20:20:24Z

N612AX-1591898851-adhoc-0,FHU,FHU,2020-06-11T18:07:31Z,2020-06-11T18:50:08Z

TNKR910-1591894163-adhoc-0,,FHU,2020-06-11T16:49:23Z,2020-06-11T17:29:53Z

TNKR910-1591839724-adhoc-0,FHU,FHU,2020-06-11T01:42:04Z,2020-06-11T02:25:58Z

TNKR910-1591835129-adhoc-0,FHU,FHU,2020-06-11T00:25:29Z,2020-06-11T00:58:14Z

TNKR910-1591830221-adhoc-0,FHU,FHU,2020-06-10T23:03:41Z,2020-06-10T23:45:48Z

TNKR910-1591751285-adhoc-0,AZA,FHU,2020-06-10T01:08:05Z,2020-06-10T01:34:33Z

TNKR910-1592930730-adhoc-0,,FHU,2020-06-23T16:45:30Z,2020-06-23T18:59:23Z

TNKR910-1592848949-adhoc-0,,FHU,2020-06-22T18:02:29Z,2020-06-22T20:15:00Z

N612AX-1592702612-adhoc-0,FHU,FHU,2020-06-21T01:23:32Z,2020-06-21T02:47:08Z

N612AX-1592697369-adhoc-0,FHU,FHU,2020-06-20T23:56:09Z,2020-06-21T00:35:52Z

TNKR910-1592692373-adhoc-0,FHU,FHU,2020-06-20T22:32:53Z,2020-06-20T23:08:52Z

TNKR910-1592687229-adhoc-0,FHU,FHU,2020-06-20T21:07:09Z,2020-06-20T21:47:08Z

TNKR910-1592679523-adhoc-0,FHU,FHU,2020-06-20T18:58:43Z,2020-06-20T19:32:48Z

TNKR910-1592673907-adhoc-0,,FHU,2020-06-20T17:25:07Z,2020-06-20T18:04:52Z

TNKR910-1592597342-adhoc-0,FHU,FHU,2020-06-19T20:09:02Z,2020-06-19T20:53:25Z

TNKR910-1592592805-adhoc-0,FHU,FHU,2020-06-19T18:53:25Z,2020-06-19T19:25:16Z

TNKR910-1592587819-adhoc-0,FHU,FHU,2020-06-19T17:30:19Z,2020-06-19T18:09:04Z

TNKR910-1592509487-adhoc-0,FHU,FHU,2020-06-18T19:44:47Z,2020-06-18T20:24:25Z

TNKR910-1592504833-adhoc-0,FHU,FHU,2020-06-18T18:27:13Z,2020-06-18T19:02:43Z

TNKR910-1592499113-adhoc-0,FHU,FHU,2020-06-18T16:51:53Z,2020-06-18T17:37:21Z

TNKR910-1592437315-adhoc-0,FHU,FHU,2020-06-17T23:41:55Z,2020-06-18T01:52:36Z

TNKR910-1592416196-adhoc-0,FHU,FHU,2020-06-17T17:49:56Z,2020-06-17T18:27:49Z

TNKR910-1593476440-adhoc-0,SBD,SBD,2020-06-30T00:20:40Z,2020-06-30T02:00:58Z

TNKR910-1593468650-adhoc-0,SBD,SBD,2020-06-29T22:10:50Z,2020-06-29T23:50:24Z

TNKR910-1593460989-adhoc-0,SBD,SBD,2020-06-29T20:03:09Z,2020-06-29T21:36:50Z

N612AX-1593449876-1-0-60,PIH,SBD,2020-06-29T17:24:00Z,2020-06-29T19:21:36Z

TNKR910-1593287304-adhoc-0,PIH,PIH,2020-06-27T19:48:24Z,2020-06-28T01:00:44Z

N612AX-1593276805-adhoc-0,PIH,PIH,2020-06-27T16:53:25Z,2020-06-27T18:49:53Z

TNKR910-1593212953-adhoc-0,,PIH,2020-06-26T23:09:13Z,2020-06-27T03:44:17Z

N612AX-1593201122-adhoc-0,FHU,PIH,2020-06-26T19:52:02Z,2020-06-26T22:13:35Z

N612AX-1593138377-adhoc-0,FHU,FHU,2020-06-26T02:26:17Z,2020-06-26T03:08:03Z

TNKR910-1594161595-adhoc-0,MCC,MCC,2020-07-07T22:39:55Z,2020-07-07T23:32:02Z

TNKR910-1594155402-adhoc-0,MCC,MCC,2020-07-07T20:56:42Z,2020-07-07T22:10:49Z

N612AX-1594146336-adhoc-0,PIH,MCC,2020-07-07T18:25:36Z,2020-07-07T20:19:30Z

TNKR910-1593824615-adhoc-0,PIH,PIH,2020-07-04T01:03:35Z,2020-07-04T01:56:45Z

N612AX-1593742313-adhoc-0,PIH,PIH,2020-07-03T02:11:53Z,2020-07-03T03:05:48Z

N612AX-1593736793-adhoc-0,PIH,PIH,2020-07-03T00:39:53Z,2020-07-03T01:32:02Z

TNKR910-1593731951-adhoc-0,PIH,PIH,2020-07-02T23:19:11Z,2020-07-02T23:58:18Z

N612AX-1593713753-1-0-60,SMX,PIH,2020-07-02T18:36:58Z,2020-07-02T20:03:57Z

TNKR910-1593658052-adhoc-0,SBD,SMX,2020-07-02T02:47:32Z,2020-07-02T03:42:27Z

TNKR910-1593652707-adhoc-0,SBD,SBD,2020-07-02T01:18:27Z,2020-07-02T02:07:27Z

TNKR910-1593647753-adhoc-0,SBD,SBD,2020-07-01T23:55:53Z,2020-07-02T00:52:15Z

TNKR910-1593642919-adhoc-0,SBD,SBD,2020-07-01T22:35:19Z,2020-07-01T23:32:09Z

TNKR910-1594768269-adhoc-0,,PIH,2020-07-14T23:11:09Z,2020-07-15T01:26:28Z

TNKR910-1594758447-adhoc-0,,SBD,2020-07-14T20:27:27Z,2020-07-14T22:38:22Z

TNKR910-1594748472-adhoc-0,PIH,SBD,2020-07-14T17:41:12Z,2020-07-14T19:49:15Z

TNKR910-1594690644-adhoc-0,PIH,PIH,2020-07-14T01:37:24Z,2020-07-14T03:27:50Z

TNKR910-1594672262-adhoc-0,PIH,PIH,2020-07-13T20:31:02Z,2020-07-14T00:54:48Z

TNKR910-1594413990-adhoc-0,SBD,,2020-07-10T20:46:30Z,2020-07-10T20:46:30Z

TNKR910-1594403589-adhoc-0,PIH,SBD,2020-07-10T17:53:09Z,2020-07-10T20:04:43Z

TNKR910-1594338011-adhoc-0,SBD,PIH,2020-07-09T23:40:11Z,2020-07-10T01:32:56Z

TNKR910-1594329689-adhoc-0,SBD,SBD,2020-07-09T21:21:29Z,2020-07-09T23:08:34Z

N612AX-1594319012-adhoc-0,,SBD,2020-07-09T18:23:32Z,2020-07-09T20:35:42Z

TNKR910-1594255775-adhoc-0,MCC,PIH,2020-07-09T00:49:35Z,2020-07-09T02:17:40Z

