IncidentName,UniqueFireIdentifier,FireDiscoveryDateTime,InitialResponseAcres,CreatedOnDateTime_dt,GACC,ContainmentDateTime,ControlDateTime,FireOutDateTime,DiscoveryAcres,FinalAcres,IncidentSize,InitialLatitude,InitialLongitude,Latitude,Longitude
Bear Haven CG,2022-WVMOF-001345,2022-10-04 16:22:00,0.1,2022-10-07 16:43:48,EACC,2022-10-07 16:45:00,2022-10-07 16:50:00,2022-10-07 17:00:00,0.1,0.1,0.1,38.92975,-79.680194,38.92975,-79.68019
Alligator,2022-OHWAF-001592,2022-11-10 15:18:00,1.1,2022-11-10 16:07:02,EACC,2022-11-10 16:02:00,2022-11-10 17:09:00,2022-11-15 15:57:00,1.1,1.1,1.1,39.641056,-81.262083,39.641056,-81.26208
County 195,2022-OHWAF-001593,2022-11-10 15:44:00,0.1,2022-11-10 17:15:54,EACC,2022-11-10 17:15:00,2022-11-10 17:15:00,2022-11-10 17:15:00,0.1,0.1,0.1,38.661518,-82.374757,38.661518,-82.37476
PVT Rd 160,2022-OHWAF-001612,2022-11-11 02:36:00,0.25,2022-11-11 18:08:21,EACC,2022-11-11 18:05:00,2022-11-12 18:05:00,2022-11-12 18:05:00,0.25,0.25,0.25,38.645311,-82.674444,38.645311,-82.67445
Germany Hollow,2022-OHWAF-001644,2022-11-14 20:51:00,0.1,2022-11-14 22:06:07,EACC,2022-11-14 21:55:00,2022-11-15 16:12:00,2022-11-17 15:33:00,0.1,0.1,0.1,38.736667,-82.793611,38.735333,-82.78983
Dennison,2022-OHWAF-001645,2022-11-14 21:02:00,0.1,2022-11-14 22:42:21,EACC,2022-11-14 22:25:00,2022-11-15 16:31:00,2022-11-15 16:31:00,0.1,0.1,0.1,38.781667,-82.739167,38.781667,-82.73861
State Route 555,2022-OHOHS-001502,2022-11-05 20:40:00,0.3,2022-11-08 13:30:33,EACC,2022-11-05 22:00:00,2022-11-05 22:00:00,2022-11-07 22:15:00,0.3,0.3,0.3,39.619414,-82.022017,39.619414,-82.02202
Tom Coker 2,2022-OHWAF-001574,2022-11-08 22:57:00,1.0,2022-11-08 23:06:52,EACC,2022-11-09 00:26:00,2022-11-14 20:30:00,2022-12-06 20:28:00,1.0,1.0,1.0,38.811944,-82.568056,38.811944,-82.56805
193,2022-OHWAF-001553,2022-11-08 16:11:00,1.0,2022-11-08 16:44:54,EACC,2022-11-08 22:45:00,2022-12-05 19:13:00,2022-12-05 19:13:00,1.0,1.5,1.5,38.786333,-82.614472,38.786333,-82.61446
127,2022-OHWAF-001557,2022-11-08 17:05:00,150.0,2022-11-08 22:08:50,EACC,2022-12-04 16:00:00,2022-12-05 16:15:00,2022-12-09 17:00:00,1.0,1338.0,1338.0,38.778333,-82.590278,38.778333,-82.59028
Shawnee,2022-OHWAF-001577,2022-11-09 17:57:00,0.5,2022-11-09 18:57:30,EACC,2022-11-10 16:00:00,2022-11-16 16:30:00,2022-11-16 16:30:00,0.5,0.5,0.5,39.630779,-82.232853,39.630779,-82.23286
258,2022-OHWAF-001579,2022-11-09 19:16:00,5.0,2022-11-09 20:13:55,EACC,2022-11-09 23:25:00,2022-11-13 17:20:00,2022-12-01 20:51:00,6.0,6.0,6.0,38.64614,-82.749613,38.656639,-82.75022
